name,count,rank
"love","63",1
"like","50",2
"major","41",3
"looking","38",4
"hi","32",5
"food","23",6
"o","18",7
"time","18",8
"music","18",9
"columbia","16",10
"get","16",11
"new","16",12
"studying","16",13
"know","15",14
"dont","15",15
"make","15",16
"lets","14",17
"someone","14",18
"fun","14",19
"life","14",20
"friends","13",21
"enthusiast","12",22
"senior","12",23
"people","12",24
"student","11",25
"science","11",26
"coffee","11",27
"want","11",28
"nyc","11",29
"dance","11",30
