name,count,rank
"like","269",1
"love","255",2
"looking","186",3
"good","102",4
"food","92",5
"music","80",6
"hi","78",7
"dont","77",8
"time","73",9
"get","72",10
"fun","70",11
"brown","70",12
"someone","65",13
"new","65",14
"friends","61",15
"really","58",16
"things","57",17
"loves","53",18
"dogs","53",19
"hey","53",20
"lets","50",21
"know","50",22
"people","49",23
"cool","49",24
"go","48",25
"coffee","48",26
"one","47",27
"life","47",28
"little","47",29
"big","46",30
