name,count,rank
"love","197",1
"like","164",2
"major","96",3
"hi","86",4
"food","80",5
"looking","78",6
"music","63",7
"good","52",8
"time","49",9
"fun","44",10
"new","43",11
"friends","38",12
"things","37",13
"dogs","36",14
"cs","36",15
"life","36",16
"going","36",17
"cornell","35",18
"loves","34",19
"enjoy","34",20
"people","33",21
"coffee","33",22
"hiking","30",23
"someone","30",24
"really","29",25
"student","29",26
"dont","29",27
"science","27",28
"movies","27",29
"go","27",30
