name,count,rank
"food","518",1
"love","405",2
"free","396",3
"like","328",4
"looking","227",5
"get","192",6
"good","140",7
"hi","125",8
"lets","117",9
"time","114",10
"waffles","109",11
"dont","96",12
"want","94",13
"friends","87",14
"know","81",15
"music","80",16
"long","77",17
"new","77",18
"one","74",19
"really","71",20
"dogs","69",21
"someone","69",22
"3","65",23
"life","62",24
"girl","62",25
"people","60",26
"fun","58",27
"loves","58",28
"harvard","55",29
"little","55",30
