name,count,rank
"love","348",1
"like","267",2
"major","183",3
"food","155",4
"looking","133",5
"good","118",6
"music","107",7
"hi","85",8
"time","84",9
"get","80",10
"fun","79",11
"dont","78",12
"student","76",13
"dogs","74",14
"new","74",15
"friends","71,16"
"go","69",17
"enjoy","67",18
"studying","60",19
"movies","59",20
"know","59",21
"sports","56",22
"people","55",23
"life","54",24
"engineering","50",25
"things","48",26
"someone","47",27
"games","46",28
"loves","45",29
"trying","45",30
