name,count,rank
"like","107",1
"love","98",2
"food","47",3
"hi","44",4
"music","40",5
"looking","38",6
"course","28",7
"people","27",8
"mit","27",9
"good","26",10
"enjoy","26",11
"games","26",12
"things","26",13
"friends","24",14
"new","24",15
"major","24",16
"math","24",17
"dont","23",18
"really","21",19
"lets","20",20
"reading","19",21
"movies","18",22
"loves","18",23
"know","18",24
"cooking","17",25
"time","17",26
"dogs","16",27
"someone","16",28
"3","16",29
"student","16",30
