name,count,rank
"love","2542",1
"like","2228",2
"food","1306",3
"looking","1266",4
"major","948",5
"hi","803",6
"good","795",7
"music","729",8
"time","630",9
"get","604",10
"free","587",11
"dont","578",12
"new","570",13
"fun","566",14
"friends","539",15
"dogs","496",16
"someone","461",17
"know","448",17
"loves","419",17
"really","413",18
"people","412",19
"things","405",20
"lets","398",21
"go","382",22
"life","378",23
"big","375",24
"make","364",25
"one","350",26
"coffee","343",27
