name,count,rank
"like","323",1
"love","311",2
"looking","211",3
"food","124",4
"major","116",5
"good","106",6
"dont","103",7
"hi","102",8
"music","101",9
"new","97",10
"fun","97",11
"time","85",12
"someone","85",13
"dogs","83",14
"friends","80",15
"know","70",16
"get","70",17
"things","66",18
"loves","66",19
"girl","66",20
"trying","62",21
"make","61",22
"life","61",23
"really","59",24
"cool","58",25
"one","56",26
"go","56",27
"people","54",28
"always","51",29
"find","51",30
