name,count,rank
"love","168",1
"major","92",2
"food","83",3
"like","74",4
"looking","59",5
"music","49",6
"good","48",7
"dogs","35",8
"loves","33",9
"time","32",10
"wellesley","30",11
"new","30",12
"lover","28",13
"hi","28",14
"friends","26",15
"coffee","23",16
"get","23",17
"reading","23",18
"fun","22",19
"really","21",20
"art","21",21
"boston","20",22
"tea","20",23
"someone","19",24
"things","18",25
"big","18",26
"people","17",27
"cats","17",28
"studies","17",29
"always","17",30
