name,count,rank
"love","96",1
"like","64",2
"major","48",3
"looking","34",4
"food","31",5
"good","30",6
"music","27",7
"yale","24",8
"history","19",9
"hi","19",10
"fun","16",11
"movies","14",12
"memes","13",13
"really","13",14
"time","13",15
"loves","13",16
"coffee","13",17
"someone","12",18
"tea","12",19
"dont","12",20
"big","12",21
"jokes","12",22
"dogs","11",23
"enthusiast","11",24
"get","11",25
"dance","11",26
"likes","11",27
"trying","10",28
"always","10",29
"art","10",30
